,Product,OrignalPrice,DiscountPrice,Rating,NumUserRating,Occasion,Material,Pattern,Closure Type,Fit,Sleeve Type,Type,Rise Style,Neckline Type,Sold By,Country of Origin
308,Black V Neck Three Fourth Sleeves Solid Midi Dress,"2,995","2,546",4.6,4.6,Casual,Rayon,Solid/Plain,Slip On,Comfortable,Three Fourth Sleeves,Midi,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
309,Dark Blue High Waist Ripped Denim,"3,295","2,472",4.0,4.0,Casual,Denim,Solid/Plain,N/A,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
310,Work Blue And White Shift Wrap Dress,"2,995","2,097",4.0,4.0,Work,Rayon,Geometric,Slip On,A-Line,Full Sleeves,Knee Length,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
311,Green Floral Printed V Neck Fit And Flare Short Dress,"3,295","2,142",4.0,4.0,Casual,Viscose,Floral,Zipper,Comfortable,Half Sleeves,Mini,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
312,Green Ruffle On The Wrap Dress,"1,695","1,187",4.0,4.0,Casual,Georgette,Floral,Zipper,Comfortable,Flared Sleeves,Mini,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
313,White Folded Denim 5 Pocket Shorts,"1,895","1,422",4.5,4.5,Casual,Denim,Solid/Plain,Button Fly,Fitted,N/A,N/A,Mid Waist,N/A,Nykaa Fashion Pvt Ltd,India
314,Multicolor Floral Printed Crop Tube Top,"1,595","1,197",3.9,3.9,Resort/Vacation,Polyester,Floral,Tie-Ups,Fitted,Sleeveless,Crop Tops,N/A,Halter Neck,Nykaa Fashion Pvt Ltd,India
315,Garden Of Roses Off Multi-Color Top,"1,395","1,047",4.1,4.1,Casual,Polyester,Floral,Side Closure,Comfortable,Balloon Sleeve,Regular,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
316,Shades Of Spring Dress,"2,295","1,722",4.0,4.0,Casual,Polyester,Printed,Slip On,Comfortable,Half Sleeves,Knee Length,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
317,Own Your Elegance Maroon Dress,"2,695","2,022",4.2,4.2,Party,Polyester,Solid/Plain,Zip,Comfortable,Sleeveless,Midi,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
318,Printed In Your Choice Dress,"2,895","2,172",4.5,4.5,Casual,Cotton,Printed,Slip On,Comfortable,Sleeveless,Midi,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
319,Green Sweetheart Neck Fit And Flare Midi Dress,"2,995","2,546",NaN,0,Casual,Cotton,Solid/Plain,Elastic,Comfortable,Sleeveless,Midi,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
320,Lilac Summer Time Love Dress,"2,495","1,622",4.0,4.0,Casual,Rayon,Solid/Plain,Side Closure,Comfortable,Half Sleeves,Midi,N/A,Square Neck,Nykaa Fashion Pvt Ltd,India
321,Mid Blue Low Waist Wide Leg Denim,"2,995","1,947",3.6,3.6,Casual,Denim,Solid/Plain,N/A,Comfortable,N/A,N/A,Low Waist,N/A,Nykaa Fashion Pvt Ltd,India
322,Work Sea Green Floral Full Sleeves Short Dress,"2,795","2,376",3.7,3.7,Casual,Polyester,Floral,Button Fly,Comfortable,Full Sleeves,Mini,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
323,Curve Play It Chic Dress,"2,595","1,557",4.4,4.4,Casual,Chiffon,Printed,Side Closure,Comfortable,Half Sleeves,Midi,N/A,Square Neck,Nykaa Fashion Pvt Ltd,India
324,Floral Print Fit And Flare Back Tie Up Maxi Dress,"2,795","1,957",4.0,4.0,Resort/Vacation,Polyester,Floral,Side Closure,Comfortable,Sleeveless,Maxi,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,India
325,Lime Green Tiered Shirt Dress (Set of 2),"3,495","2,796",4.8,4.8,Party,Cotton,Solid/Plain,Button Fly,Comfortable,Three Fourth Sleeves,Mini,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
326,Lavender Wave Print V Neck Waist Tie Up Crop Top,"1,795","1,436",3.7,3.7,Casual,Polyester,Printed,Tie-Ups,Fitted,Three Fourth Sleeves,Crop Tops,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
327,Black Slipping Into Polka Midi Dress,"2,295","1,722",4.3,4.3,Casual,Polyester,Polka Dots,Slip On,Comfortable,Three Fourth Sleeves,Midi,N/A,Square Neck,Nykaa Fashion Pvt Ltd,India
328,Green Ruffles Wrapped In Dress,"1,895","1,327",4.2,4.2,Casual,Georgette,Floral,Zipper,Comfortable,Balloon Sleeve,Midi,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
329,Keeping It Cute Dress,"1,895","1,422",4.3,4.3,Casual,Polyester,Floral,Zip,Comfortable,Sleeveless,Mini,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,India
330,Work Brown Solid Pleated Sleeveless Wrap Top,"1,795","1,616",4.1,4.1,Casual,Polyester,Solid/Plain,Tie-Ups,Comfortable,Sleeveless,Regular,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
331,Lavender And Neon Green Wave Print Short Flared Skirt,"1,795","1,436",4.5,4.5,Party,Polyester,Printed,Zipper,Comfortable,N/A,Mini,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
332,White Embroidered V Neck Tiered Floral Dress,"2,795","2,516",NaN,0,Party,Cotton,Floral,Back Closure,Comfortable,Puff Sleeves,Mini,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
333,Navy Ruffle On My Mind Maxi Dress,"2,995","2,097",4.4,4.4,Party,Georgette,Solid/Plain,Zip,Comfortable,Sleeveless,Maxi,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
334,Black Sequin Round Neck Cut Out Short Dress,"3,795","2,847",4.1,4.1,Party,Sequin,Embellished/Sequined,Zipper,Comfortable,Half Sleeves,Mini,N/A,Round Neck,Nykaa Fashion Pvt Ltd,India
335,Navy Blue Ready For The Royal Ball Maxi Dress,"2,395","1,916",4.2,4.2,Evening,Polyester,Solid/Plain,Side Closure,Comfortable,Sleeveless,Maxi,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
336,Pink Floral Printed Ruffled Strappy Short Dress,"1,995","1,696",4.7,4.7,Casual,Polyester,Floral,Elastic,Comfortable,Sleeveless,Mini,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
337,Work Beige Solid Straight Pants,"2,995","2,097",3.8,3.8,Casual,Polyester,Solid/Plain,Zipper,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
338,Blue The Tasselled Beauty Dress,"2,095","2,095",4.3,4.3,Casual,Chiffon,Solid/Plain,Tie-Ups,Comfortable,Full Sleeves,Mini,N/A,Square Neck,Nykaa Fashion Pvt Ltd,India
339,Work Black And White High Neck A Line Dress,"2,995","1,947",4.6,4.6,Work,Polyester,Geometric,Zipper,Comfortable,Sleeveless,Knee Length,N/A,High Neck,Nykaa Fashion Pvt Ltd,India
340,Blue Floral The Ruffled Layer Top,"1,295",972,4.2,4.2,Casual,Chiffon,Floral,Slip On,Comfortable,Balloon Sleeve,Regular,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
341,Beige Floral Printed Asymmetric Midi Skirt,"2,795","2,097",4.6,4.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
342,Green Floral Printed Puff Sleeved Fit And Flare Dress,"3,595","2,876",3.9,3.9,Casual,Viscose,Floral,Zipper,Comfortable,Half Sleeves,Knee Length,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
343,Work Grey Checked Lapel Wrap Neck A Line Dress (Set of 2),"2,595","2,206",4.9,4.9,Work,Polyester,Checks,Zipper,Comfortable,Sleeveless,Mini,N/A,Notched Lapel,Nykaa Fashion Pvt Ltd,India
344,Work Multicolor Graphic Print Knee Length Dress,"3,295","2,472",4.0,4.0,Work,Polyester,Printed,Button Fly,Comfortable,Full Sleeves,Knee Length,N/A,Mandarin Neck,Nykaa Fashion Pvt Ltd,India
345,Navy Blue Cool Classic Revival Polka Dress,"2,195","1,647",4.3,4.3,Casual,Viscose,Polka Dots,Slip On,Flared,Ruffled Sleeves,Midi,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
346,Lavender Tiered Shirt Dress (Set of 2),"3,495","2,796",4.8,4.8,Casual,Cotton,Solid/Plain,Button Fly,Comfortable,Three Fourth Sleeves,Mini,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
347,Work Black And White Geometric Shirt,"1,795","1,077",4.5,4.5,Casual,Rayon,Geometric,Button Fly,Comfortable,Full Sleeves,N/A,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
348,Delighted To See You Dress,"1,995","1,297",4.2,4.2,Casual,Chiffon,Floral,Side Closure,Comfortable,Three Fourth Sleeves,Midi,N/A,Scoop Neck,Nykaa Fashion Pvt Ltd,India
349,Blue Solid Wide Leg Strappy Jumpsuit,"2,595","1,947",4.6,4.6,Evening,Polyester,Solid/Plain,Zipper,Comfortable,Sleeveless,Jumpsuits,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
350,Black Floral Halter Neck Midi Dress,"3,295","2,636",4.7,4.7,Party,Cotton,Floral,Elastic,Comfortable,Sleeveless,Midi,N/A,Halter Neck,Nykaa Fashion Pvt Ltd,India
351,Women’s Regular Pants - Bamboo Beige,"2,980","1,252",4.1,4.1,Formal,Cotton,Solid/Plain,Hook and Eye,Comfortable,N/A,N/A,Mid Waist,N/A,Power Sutra Clothing Private Limited.,India
352,Women Blue Sherpa-lined Denim Jacket,"7,999","4,800",5.0,5.0,Casual,Denim,Solid/Plain,Front Closure,Normal,Full Sleeves,Jackets,N/A,Collar Neck,Aditya Birla Fashion And Retail Limited_parent,India
353,TSS Originals Hot Mess Cotton Women Oversized T-shirts,"1,299",735,4.2,4.2,Casual,Cotton,Graphic,N/A,Boxy,Half Sleeves,N/A,N/A,Round Neck,The Souled Store Private Limited_parent,India
354,Multi-Color Floral Printed A-Line Dress (S),"1,899",760,3.5,3.5,Casual,Polyester,Floral,Pull On,Comfortable,Three Fourth Sleeves,Midi,N/A,Off Shoulder,Epic Brands Pvt Ltd,India
355,Black White Frill Top Straight Pant Cord (Set of 2),"3,199","1,088",3.9,3.9,Work,Polyester,Printed,Elastic,Comfortable,Full Sleeves,N/A,N/A,V-Neck,Khullar Appearls_parent,India
356,Brown Front Knot Peplum Feminine Frills Top,"1,499",555,3.9,3.9,Casual,Polyester,Solid/Plain,Back Closure,Normal,Full Sleeves,Regular,N/A,V-Neck,Khullar Appearls_parent,India
357,Brick Red Shimmer Cowl Neck Fitted Midi Dress,"2,795","1,957",5.0,5.0,Evening,Polyester,Solid/Plain,Zipper,Fitted,Sleeveless,Midi,N/A,Cowl Neck,Nykaa Fashion Pvt Ltd,India
358,Casual Blouse Top For Women Highly Durable & Absorptive,"2,999",749,4.0,4.0,Casual,Polyester,Printed,Front Closure,Normal,Three Fourth Sleeves,Regular,N/A,Collar Neck,Redtape Limited_parent,Bangladesh
359,Women Pink Floral Fit & Flare Georgette Western Dress,"2,249","1,575",4.5,4.5,Casual,Georgette,Printed,Slip On,Free,Three Fourth Sleeves,Mini,N/A,V-Neck,Bhumika Fashion,India
360,Gina Play & Splash Coordinate (Set of 3),"4,300","3,870",3.6,3.6,Resort/Vacation,Cotton,Printed,Elastic,Comfortable,Full Sleeves,N/A,N/A,Collar Neck,Jaipur Design Factory,India
361,Martha Petite Lace Prom Mini Dress,"8,400","6,995",4.0,4.0,Casual,Lace,Lace,Zipper,Normal,Sleeveless,Mini,N/A,Shoulder Straps,Forever New Apparels Pvt Ltd_parent,China
362,Red Julia Dress,"4,950","4,703",4.0,4.0,Party,Chiffon,Ruffled,Slip On,Comfortable,Sleeveless,Mini,N/A,Shoulder Straps,Innsaei Designs Llp,India
363,Gracia Green Dress,"2,700","2,700",4.0,4.0,Evening,Crepe,Solid/Plain,Zipper,A-Line,Full Sleeves,Maxi,N/A,V-Neck,Divya Import Export,India
364,Ruffle Polka Fit & Flare Black Dress,"1,999","1,000",4.2,4.2,Casual,Georgette,Polka Dots,N/A,Semi-Fit,Full Sleeves,Knee Length,N/A,V-Neck,Nidwait Retail Pvt Ltd,India
365,Satin Floral Print Wrap Dress - Green and Black,"4,495","3,147",4.1,4.1,Party,Satin,Floral,Tie-Ups,Comfortable,Three Fourth Sleeves,Midi,N/A,V-Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
366,Blue Floral Printed Sweetheart Neck Short Dress,"2,995","2,097",4.0,4.0,Casual,Viscose,Floral,Slip On,Comfortable,Sleeveless,Mini,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,India
367,Daisy 3-piece Co-ord Set (Set of 3),"4,200","3,990",3.4,3.4,Resort/Vacation,Cotton,Printed,Pull On,Regular,Full Sleeves,N/A,N/A,Collar Neck,Ordinaree Tribe Private Limited,India
368,Chiffon Floral Corset Ruffle Mini Dress,"4,799","4,320",NaN,0,Casual,Chiffon,Floral,Pull On,Regular,Sleeveless,Mini,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,China
369,Martina Black Crystal Mesh Corset Jumpsuit,"14,990","14,990",NaN,0,Party,Crystal,Solid/Plain,Zipper,Tailored,Full Sleeves,Jumpsuits,N/A,High Neck,Lea Clothing Llp,India
370,High Waist Wide Leg Trousers - Black,"2,895","2,085",3.9,3.9,Work,Polyester,Solid/Plain,Zip,Regular,N/A,N/A,Mid Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
371,Women Beige Boot Cut Jeans,"2,299","1,610",4.3,4.3,Work,Blended Fabric,Solid/Plain,N/A,Normal,N/A,N/A,Mid Waist,N/A,Mangla Apparels India Pvt. Ltd.,India
372,Pink And Black Textured Short Bodycon Tube Dress,"3,295","2,801",4.6,4.6,Casual,Polyester,Textured,Zipper,Fitted,Sleeveless,Mini,N/A,Strapless/Tube,Nykaa Fashion Pvt Ltd,India
373,High Waisted Flare Pants in Second SKN Fabric With Pockets,"1,699","1,699",4.1,4.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
374,High Waisted Flare Pants in Second SKN Fabric With Pockets,"1,699","1,699",4.1,4.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
375,Round Neck Bodycon Dress,"2,299","1,688",4.2,4.2,Casual,Polyester,Colorblock,Pull On,Normal,Full Sleeves,Midi,N/A,Round Neck,Arvind Lifestyle Brands Limited-parent,India
376,Pink Ruche Me In Dress,"1,995","1,497",4.2,4.2,Casual,Crepe,Solid/Plain,Slip On,Comfortable,Three Fourth Sleeves,Midi,N/A,Square Neck,Nykaa Fashion Pvt Ltd,India
377,Red Pleated Top,"1,895","1,327",4.0,4.0,Work,Polyester,Solid/Plain,N/A,Regular,Full Sleeves,Regular,N/A,Collar Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
378,Black Satin Wrap Dress,"2,999","1,500",4.0,4.0,Festive,Satin,Solid/Plain,Pull On,Asymmetrical,Full Sleeves,Midi,N/A,V-Neck,Mish Desings Limited,India
379,Brown Solid Ribbed One Shoulder Bodycon Dress,"1,795","1,436",3.6,3.6,Casual,Cotton,Solid/Plain,Slip On,Fitted,Sleeveless,Mini,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
380,Women Beige Poly Corduroy V Neck Straps Jumpsuit,"1,999",600,3.5,3.5,Casual,Cotton,Solid/Plain,Tie-Ups,Comfortable,Sleeveless,Jumpsuits,N/A,V-Neck,Rigo International,India
381,Women Casual Multi Colour Midi Floral Dress,"1,899",760,3.7,3.7,Casual,Georgette,Floral,Zip,A-Line,Sleeveless,Midi,N/A,Shoulder Straps,Epic Brands Pvt Ltd,India
382,Red And Magenta High-low Dress,"2,624","1,575",4.1,4.1,Evening,Polyester,Solid/Plain,Pull On,Normal,Sleeveless,Mini,N/A,Halter Neck,Astrid Fashions Pvt Ltd,India
383,Womens Green Cowl Neck Top,"1,499",570,3.7,3.7,Casual,Crepe,Solid/Plain,Zipper,Skinny,Sleeveless,Crop Tops,N/A,Cowl Neck,Lueur Vestures Pvt Ltd,India
384,Zic Zac Cotton Printed Dress,"2,600","2,470",3.6,3.6,Casual,Cotton,Printed,Slip On,Anti-Fit,Flared Sleeves,Mini,N/A,Off Shoulder,Ordinaree Tribe Private Limited,India
385,Shirt Tie-up Belt Mini Dress,"2,699","2,430",3.8,3.8,Casual,Cotton,Solid/Plain,Front Closure,Regular,Half Sleeves,Mini,N/A,Mandarin Neck,Abhishti Textile Private Limited_parent,India
386,Black Embellished Overlap Midi Skirt,"2,995","2,097",4.4,4.4,Party,Sequin,Embellished/Sequined,Zipper,Fitted,N/A,Midi,Mid Waist,N/A,Nykaa Fashion Pvt Ltd,India
387,Box Pleat Ombre Dress - Green and Blue,"2,995","2,097",3.9,3.9,Party,Polyester,Ombre,Back Closure,Comfortable,Sleeveless,Knee Length,N/A,Halter Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
388,Black Solid Hoodie,"1,999","1,200",3.7,3.7,Everyday Essentials,Cotton,Solid/Plain,Tie-Ups,Normal,Full Sleeves,N/A,N/A,Hooded,Awesomefab Shopping Private Limited,India
389,Snow Short Tier Dress,"2,900","2,755",3.6,3.6,Casual,Cotton,Solid/Plain,Slip On,Comfortable,Bell Sleeves,N/A,N/A,V-Neck,Ordinaree Tribe Private Limited,India
390,Black & Pink Floral Crepe Midi Slit Dress,"1,999",900,4.1,4.1,Casual,Crepe,Floral,N/A,Semi-Fit,Half Sleeves,Knee Length,N/A,Sweetheart,Nidwait Retail Pvt Ltd,India
391,Paisley Strapless Knotted Top & Flared Trousers Set (Set of 2),"4,699","4,699",4.0,4.0,Casual,Cotton,Floral,Tie-Ups,Regular,Sleeveless,N/A,N/A,Strapless/Tube,Nykaa Fashion Pvt Ltd,China
392,Red Maple Slay Dress,"4,200","3,570",3.1,3.1,Work,Cotton,Solid/Plain,Front Closure,A-Line,Three Fourth Sleeves,Midi,N/A,Collar Neck,Swish Boss Apparels Pvt. Ltd.,India
393,Red Maria Dress,"4,550","4,323",2.9,2.9,Evening,Chiffon,Ruffled,Zipper,Comfortable,Sleeveless,Mini,N/A,Cowl Neck,Innsaei Designs Llp,India
394,Women's Navy Blue Skinny Fit High Rise Clean Look Stretchable Denim Jeans,"1,899",950,3.9,3.9,Casual,Denim,Solid/Plain,N/A,Skinny,N/A,N/A,High Waist,N/A,Chase Lifestyle Private Limited_parent,India
395,Aden Chiffon Long Dress,"6,800","6,460",3.6,3.6,Evening,Chiffon,Printed,Tie-Ups,Comfortable,Sleeveless,Maxi,N/A,Sweetheart,Ordinaree Tribe Private Limited,India
396,Green Sequin Round Neck Cut Out Short Dress,"3,795","2,657",4.5,4.5,Party,Sequin,Embellished/Sequined,Zipper,Comfortable,Puff Sleeves,Mini,N/A,Round Neck,Nykaa Fashion Pvt Ltd,India
397,Satin Abstract Print A-line Dress - Acid Green and Blue,"3,995","2,797",4.3,4.3,Party,Satin,Printed,Back Closure,Comfortable,Three Fourth Sleeves,Knee Length,N/A,High Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
398,Adele Jacket for Women,"3,499","3,499",5.0,5.0,Casual,Linen,Printed,Tie-Ups,Tailored,Sleeveless,Jackets,N/A,Notched Lapel,Fett Brands Pvt Ltd.,India
399,Womens Wine Halter Neck Sleeveless Solid Embellished Midi Dress,"3,495","1,398",4.2,4.2,Party,Polyester,Embellished/Sequined,Zip,Skinny,Sleeveless,Midi,N/A,Halter Neck,Chase Lifestyle Private Limited_kolkatta,India
400,Pink Solid Bodycon Knee Length Dress,"2,299",621,3.8,3.8,Evening,Polyester,Solid/Plain,Pull On,Comfortable,Half Sleeves,Knee Length,N/A,High Neck,Purvaja,India
401,Maroon Sweetheart Neck Wrap Dress,"3,150",977,4.1,4.1,Evening,Georgette,Solid/Plain,Back Closure,A-Line,Half Sleeves,Midi,N/A,Sweetheart,Nidwait Retail Pvt Ltd,India
402,Women Blue Comfort Mildly Distressed Wide Leg High Rise Non Stretchable Jeans,"2,399","2,399",3.7,3.7,Casual,Cotton,Solid/Plain,N/A,Comfortable,N/A,N/A,High Waist,N/A,Expose Apparels Private Limited,India
403,Black Balloon Sleeve Bodycon Knee Dress,"2,999","1,050",3.8,3.8,Party,Lycra,Embellished/Sequined,Pull On,Normal,Balloon Sleeve,N/A,N/A,Square Neck,Khullar Appearls_parent,India
404,White Sweetheart Fitted Crop Top,995,747,4.1,4.1,Party,Polyester,Solid/Plain,Zipper,Fitted,Sleeveless,Crop Tops,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
405,Women's Dusty Lavender Round Neck Sleeveless Embellished Midi Dress,"3,895","1,558",4.2,4.2,Party,Georgette,Embellished/Sequined,Zipper,Boxy,Sleeveless,Midi,N/A,Round Neck,Chase Lifestyle Private Limited_parent,India
406,Pink Jacquard Burnout Flippy Hem Midi Dress,"15,999","8,000",4.8,4.8,Casual,Blended Fabric,Lace,Back Closure,Normal,Sleeveless,Midi,N/A,Crew Neck,Nykaa Fashion Pvt Ltd,China
407,Purple Printed T-Shirt,"1,199",588,4.1,4.1,Casual,Cotton,Printed,N/A,Loose,Half Sleeves,N/A,N/A,Round Neck,Elcinco Inc,India
408,Women Solid Blue Jeans,"2,499","2,250",4.5,4.5,Casual,Cotton,Solid/Plain,N/A,Skinny,N/A,N/A,Mid Waist,N/A,Only Retail Private Limited_parent,Bangladesh
409,Stylish Black Self Design Dress,"2,199",770,4.3,4.3,Party,Polyester,Self Design,Zipper,A-Line,Full Sleeves,Mini,N/A,V-Neck,Khullar Appearls_parent,India
410,Curve Dark Green Half Sleeve Midi Dress with Belt (Set of 2),"2,800","1,540",3.9,3.9,Casual,Crepe,Textured,Button Fly,Normal,Half Sleeves,Midi,N/A,Square Neck,High Street Essentials Private Limited_mp,India
411,Blue Georgette Printed Flared Dress,"2,786","1,310",4.2,4.2,Casual,Georgette,Printed,Slip On,Comfortable,Cap,Midi,N/A,V-Neck,Threadbucket Studio Llp_mp,India
412,Pink Printed Ruched Top,"2,290","2,290",3.9,3.9,Casual,Polyester,Floral,Pull On,Comfortable,Three Fourth Sleeves,Regular,N/A,Square Neck,Future Style Lab Limited_gurgaon,India
413,Official Tom & Jerry Go Green Women Oversized T-shirt,"1,299",839,4.1,4.1,Casual,Cotton,Character,Pull On,Oversized,Half Sleeves,N/A,N/A,Round Neck,The Souled Store Private Limited_parent,India
414,Womens Blue 711 Skinny Fit Jeans,"3,899","1,755",3.9,3.9,Casual,Blended Fabric,Solid/Plain,N/A,Skinny,N/A,N/A,Mid Waist,N/A,Levi Strauss (india) Private Limited_parent,India
415,Black Cut-out Mini Bodycon Dress With Gloves,"1,700",850,4.0,4.0,Party,Polyester,Solid/Plain,Slip On,Skinny,Sleeveless,N/A,N/A,High Neck,House Of Pathona Pvt Ltd,India
416,Black Midnight Magic Dress,"1,795","1,347",4.3,4.3,Evening,Polyester,Solid/Plain,Zip,Comfortable,Sleeveless,Mini,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,India
417,Puff Sleeve Peach Ruched Dress,"1,999",960,4.0,4.0,Casual,Chiffon,Floral,N/A,Skinny,Half Sleeves,Mini,N/A,Square Neck,Nidwait Retail Pvt Ltd,India
418,Power Play Top-Red,"2,550","2,423",3.2,3.2,Evening,Chiffon,Solid/Plain,Back Closure,Skinny,Sleeveless,Regular,N/A,Strapless/Tube,Innsaei Designs Llp,India
419,Gingerbread Mulmul Co-ord Set (Set of 3),"3,800","3,610",2.8,2.8,Resort/Vacation,Cotton,Solid/Plain,Pull On,Normal,Balloon Sleeve,N/A,N/A,Sweetheart,Ordinaree Tribe Private Limited,India
420,Beige Casual Sheer Maxi Dress,"2,399","1,200",4.0,4.0,Evening,Polyester,Floral,Pull On,Normal,Sleeveless,Maxi,N/A,Round Neck,Harpa Retail Private Limited,India
421,Olive Folded Sleeve Top,"1,895","1,327",4.4,4.4,Work,Polyester,Solid/Plain,Button Fly,Regular,Half Sleeves,Shirts,N/A,Mandarin Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
422,Womens Square Neck Red Floral Print Smoked Top,"1,799",702,3.8,3.8,Casual,Crepe,Floral,Slip On,N/A,Balloon Sleeve,Regular,N/A,Square Neck,Lueur Vestures Pvt Ltd,India
423,Womens Light Blue Slim Fit High Rise Light Wash Denim Stretchable Jeans,"2,299","1,150",4.4,4.4,Casual,Denim,Solid/Plain,N/A,Super Slim,N/A,N/A,High Waist,N/A,Pants Theory Private Limited,India
424,Women Solid Purple Jacket,"5,999","2,700",3.4,3.4,Winter,Polyester,Solid/Plain,Button Fly,Normal,Full Sleeves,Jackets,N/A,Notched Lapel,Vero Moda Retail Pvt. Ltd_parent,China
425,Love Bite Dresses-Pink,"3,650","3,468",3.6,3.6,Party,Chiffon,Ruffled,Tie-Ups,Comfortable,N/A,Mini,N/A,V-Neck,Innsaei Designs Llp,India
426,Beige Floral Printed V Neck Fit And Flare Tiered Dress,"2,995","1,947",4.7,4.7,Casual,Rayon,Floral,Slip On,Comfortable,Full Sleeves,Knee Length,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
427,White Long Sleeves Notch Lapel Viscose Wrap Top,"1,799","1,799",3.8,3.8,Work,Viscose,Solid/Plain,Tie-Up,Normal,Full Sleeves,Crop Tops,N/A,Notched Lapel,Premiere Retail Trading Private Limited,China
428,Copper And Silver Sequinned Short Bodycon Tube Dress,"3,795","3,226",4.3,4.3,Party,Polyester,Embellished/Sequined,Zipper,Fitted,Sleeveless,Mini,N/A,Strapless/Tube,Nykaa Fashion Pvt Ltd,India
429,Black Wide Leg Pleated Pants,"2,199","1,100",4.0,4.0,Work,Polyester,Solid/Plain,Hook and Eye,Regular,N/A,N/A,Mid Waist,N/A,Paccoperri Fashion House Llp.,India
430,Black Stretch Pencil Skirt,"2,299","1,495",3.9,3.9,Formal,Polyester,Solid/Plain,Zipper,Tailored,N/A,Midi,Mid Waist,N/A,Power Sutra Clothing Private Limited.,India
431,Nikhil Thampi For A White Aesthetic Top,"3,995","3,396",4.1,4.1,Party,Polyester,Solid/Plain,Front Closure,Fitted,N/A,Crop Tops,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
432,Blue Official Tom And Jerry Troublemaker Tank Tops For Women,999,629,4.3,4.3,Casual,Cotton,Graphic,Pull On,Normal,Sleeveless,Vests & Tank Tops,N/A,Round Neck,The Souled Store Private Limited_parent,India
433,Chic Mess Beige Dress,"4,550","4,323",4.1,4.1,Evening,Satin,Solid/Plain,Zipper,Comfortable,Full Sleeves,Midi,N/A,Off Shoulder,Innsaei Designs Llp,India
434,Dusty Green And Golden Solid Embellished Asymmetric Maxi Dress,"4,899","1,470",3.7,3.7,Party,Polyester,Embellished/Sequined,Zipper,Comfortable,Sleeveless,Gown,N/A,One Shoulder,Chase Lifestyle Private Limited_parent,India
435,After Party Edit Black Ruffled Midi Dress,"4,500","3,825",4.8,4.8,Party,Cotton,Ruffled,Zipper,Tailored,Ruffled Sleeves,Midi,N/A,V-Neck,Swish Boss Apparels Pvt. Ltd.,India
436,Black Solid High Rise Bootcut Pants,"1,995","1,497",3.9,3.9,Party,Polyester,Solid/Plain,Zipper,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
437,Mariyam Top & Bottoms White,"3,499","2,800",2.9,2.9,N/A,Cotton,Solid/Plain,N/A,Comfortable,N/A,N/A,N/A,Round Neck,Monk & Mei Private Limited_parent,India
