,Product,OrignalPrice,DiscountPrice,Rating,NumUserRating,Occasion,Material,Pattern,Closure Type,Fit,Sleeve Type,Type,Rise Style,Neckline Type,Sold By,Country of Origin
2407,Ruffled Dress - Black,"15,500","15,500",NaN,0,Party,Jersey,Ruffled,Pull On,Comfortable,Sleeveless,Maxi,N/A,V-Neck,Deepika Arora Design House Private Limited,India
2408,Black Worth The Stare Pants,"4,295","3,436",4.2,4.2,Party,Satin,Solid/Plain,Zip,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
2409,Pixie Lavender Schiffli Puff Corset Dress,"5,490","5,490",NaN,0,Resort/Vacation,Cotton,Embroidered,Tie-Ups,Semi-Fit,Puff Sleeves,Mini,N/A,Off Shoulder,Lea Clothing Llp,India
2410,Women Teal Green Waffle Knit Split Crew Neck Half Sleeve Playsuit,"1,699",595,4.0,4.0,Casual,Cotton,Solid/Plain,Zipper,Comfortable,Half Sleeves,Playsuit,N/A,Round Neck,Rigo International,India
2411,Women Stay Strong Graphic Black Oversized T-Shirt,"1,199",720,4.3,4.3,Casual,Cotton,Graphic,N/A,Boxy,Half Sleeves,N/A,N/A,Round Neck,Awesomefab Shopping Private Limited,India
2412,Magenta Cowl Neck Bodycon Maxi Dress (S),"2,499","1,375",4.0,4.0,Casual,Polyester,Solid/Plain,Zipper,Empire,Full Sleeves,Maxi,N/A,Cowl Neck,Purvaja,India
2413,Nude Solid Satin Soft Ruched Shirt,"1,990","1,891",4.0,4.0,Party,Satin,Solid/Plain,Button Fly,Fitted,Full Sleeves,Shirts,N/A,Collar Neck,Atticsalt Creations Pvt. Ltd.,India
2414,Blue High Waist Geometric Print Skirt,"1,495","1,271",4.0,4.0,Casual,Polyester,Printed,Back Closure,Comfortable,N/A,Mini,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
2415,Women Black Wide Leg Flare Fit Mid-Rise Jeans,"1,999","1,300",3.3,3.3,Casual,Cotton,Solid/Plain,N/A,Normal,N/A,N/A,Mid Waist,N/A,Globus Stores Private Limited_parent,India
2416,Women Navy Top,"1,999","1,300",4.2,4.2,Formal,Cotton,Solid/Plain,Pull On,Normal,Full Sleeves,Regular,N/A,Collar Neck,Aditya Birla Fashion And Retail Limited_parent,India
